block_number,log_count,skipped_by_bloom,ERC20_Transfer_bloom,ERC20_Transfer_actual,ERC20_Approval_bloom,ERC20_Approval_actual,UniV2_Swap_bloom,UniV2_Swap_actual,UniV3_Swap_bloom,UniV3_Swap_actual,UniV2_Sync_bloom,UniV2_Sync_actual,WETH_Deposit_bloom,WETH_Deposit_actual,WETH_Withdrawal_bloom,WETH_Withdrawal_actual,Synthetic_Absent_bloom,Synthetic_Absent_actual
25036268,977,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036269,479,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036270,959,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036271,295,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036272,1157,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036273,602,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036274,488,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036275,432,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036276,1164,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036277,1052,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036278,764,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036279,386,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036280,455,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036281,1215,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036282,843,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036283,609,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036284,754,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036285,498,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036286,691,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036287,56,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
25036288,1131,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036289,709,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036290,539,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036291,726,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036292,220,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036293,1152,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036294,536,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036295,897,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036296,1072,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036297,642,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036298,370,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036299,903,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036300,1474,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036301,17,false,true,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false
25036302,1148,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
